Item,Value,comment1,GPIO_pin
PIN_SENSORMISC_CFG_ME_SHUT_OUT_2,134217728,MSH_2_SHUT0 / MSH_2_SHUT1 (D_GPIO[8..9]),D_GPIO8[]|D_GPIO9[]
,,,
PIN_SENSORSYNC_CFG_NONE,0,,
PIN_SENSORSYNC_CFG_SN_MCLKSRC_SN,1,,
PIN_SENSORSYNC_CFG_SN_MCLKSRC_SN2,2,,
PIN_SENSORSYNC_CFG_SN_MCLKSRC_SN3,4,,
PIN_SENSORSYNC_CFG_SN_MCLKSRC_SN4,8,,
PIN_SENSORSYNC_CFG_SN2_MCLKSRC_SN,16,,
PIN_SENSORSYNC_CFG_SN2_MCLKSRC_SN2,32,,
PIN_SENSORSYNC_CFG_SN2_MCLKSRC_SN3,64,,
PIN_SENSORSYNC_CFG_SN2_MCLKSRC_SN4,128,,
PIN_SENSORSYNC_CFG_SN3_MCLKSRC_SN,256,,
PIN_SENSORSYNC_CFG_SN3_MCLKSRC_SN2,512,,
PIN_SENSORSYNC_CFG_SN3_MCLKSRC_SN3,1024,,
PIN_SENSORSYNC_CFG_SN3_MCLKSRC_SN4,2048,,
PIN_SENSORSYNC_CFG_SN4_MCLKSRC_SN,4096,,
PIN_SENSORSYNC_CFG_SN4_MCLKSRC_SN2,8192,,
PIN_SENSORSYNC_CFG_SN4_MCLKSRC_SN3,16384,,
PIN_SENSORSYNC_CFG_SN4_MCLKSRC_SN4,32768,,
PIN_SENSORSYNC_CFG_SN_XVSXHSSRC_SN,65536,,
PIN_SENSORSYNC_CFG_SN_XVSXHSSRC_SN2,131072,,
PIN_SENSORSYNC_CFG_SN_XVSXHSSRC_SN3,262144,,
PIN_SENSORSYNC_CFG_SN_XVSXHSSRC_SN4,524288,,
PIN_SENSORSYNC_CFG_SN2_XVSXHSSRC_SN,1048576,,
PIN_SENSORSYNC_CFG_SN2_XVSXHSSRC_SN2,2097152,,
PIN_SENSORSYNC_CFG_SN2_XVSXHSSRC_SN3,4194304,,
PIN_SENSORSYNC_CFG_SN2_XVSXHSSRC_SN4,8388608,,
PIN_SENSORSYNC_CFG_SN3_XVSXHSSRC_SN,16777216,,
PIN_SENSORSYNC_CFG_SN3_XVSXHSSRC_SN2,33554432,,
PIN_SENSORSYNC_CFG_SN3_XVSXHSSRC_SN3,67108864,,
PIN_SENSORSYNC_CFG_SN3_XVSXHSSRC_SN4,134217728,,
PIN_SENSORSYNC_CFG_SN4_XVSXHSSRC_SN,268435456,,
PIN_SENSORSYNC_CFG_SN4_XVSXHSSRC_SN2,536870912,,
PIN_SENSORSYNC_CFG_SN4_XVSXHSSRC_SN3,1073741824,,
PIN_SENSORSYNC_CFG_SN4_XVSXHSSRC_SN4,2147483648,,
,,,
PIN_AUDIO_CFG_NONE,0,,
PIN_AUDIO_CFG_I2S_1,1,I2S_1       (PGPIO[17..20]),PGPIO17[]|PGPIO18[]|PGPIO19[]|PGPIO20[]
PIN_AUDIO_CFG_I2S_2,2,I2S_2       (CGPIO[4..7]),CGPIO4[]|CGPIO5[]|CGPIO6[]|CGPIO7[]
PIN_AUDIO_CFG_I2S_MCLK_1,4,I2S_MCLK_1  (PGPIO[22]),PGPIO22[]
PIN_AUDIO_CFG_I2S_MCLK_2,8,I2S_MCLK_2  (DGPIO[7]),DGPIO7[]
PIN_AUDIO_CFG_DMIC_1,16,(PGPIO[7..9]),PGPIO7[]|PGPIO8[]|PGPIO9[]
PIN_AUDIO_CFG_DMIC_2,32,(DGPIO[8..10]),DGPIO8[]|DGPIO9[]|DGPIO10[]
PIN_AUDIO_CFG_DMIC_3,64,(CGPIO[12..14]),CGPIO12[]|CGPIO13[]|CGPIO14[]
PIN_AUDIO_CFG_DMIC_DATA0,256,,
PIN_AUDIO_CFG_DMIC_DATA1,512,,
PIN_AUDIO_CFG_EXT_EAC_MCLK,4096,EXT_EAC_MCLK (PGPIO[21]),PGPIO21[]
,,,
PIN_UART_CFG_NONE,0,,
PIN_UART_CFG_UART_1,1,UART_1  (P_GPIO[23..24]),P_GPIO23[]|P_GPIO24[]
PIN_UART_CFG_UART2_1,16,UART2_1 (P_GPIO[17..20]),P_GPIO17[]|P_GPIO18[]|P_GPIO19[]|P_GPIO20[]
PIN_UART_CFG_UART2_2,32,UART2_2 (C_GPIO[14..17]),C_GPIO14[]|C_GPIO15[]|C_GPIO16[]|C_GPIO17[]
PIN_UART_CFG_UART3_1,256,UART3_1 (P_GPIO[13..16]),P_GPIO13[]|P_GPIO14[]|P_GPIO15[]|P_GPIO16[]
PIN_UART_CFG_UART3_2,512,UART3_2 (C_GPIO[20..23]),C_GPIO20[]|C_GPIO21[]|C_GPIO22[]|C_GPIO23[]
PIN_UART_CFG_UART3_4,1024,UART3_4 (S_GPIO[4]/S_GPIO[6]),S_GPIO4[]|S_GPIO6[]
PIN_UART_CFG_UART3_5,2048,UART3_5 (C_GPIO[2..3]),C_GPIO2[]|C_GPIO3[]
PIN_UART_CFG_UART4_1,4096,UART4_1 (P_GPIO[0..3]),P_GPIO0[]|P_GPIO1[]|P_GPIO2[]|P_GPIO3[]
PIN_UART_CFG_UART4_2,8192,UART4_2 (C_GPIO[4..7]),C_GPIO4[]|C_GPIO5[]|C_GPIO6[]|C_GPIO7[]
PIN_UART_CFG_UART5_1,65536,UART5_1 (P_GPIO[4..7]),P_GPIO4[]|P_GPIO5[]|P_GPIO6[]|P_GPIO7[]
PIN_UART_CFG_UART2_RTSCTS,1048576,,
PIN_UART_CFG_UART2_DIROE,2097152,,
PIN_UART_CFG_UART3_RTSCTS,4194304,,
PIN_UART_CFG_UART3_DIROE,8388608,,
PIN_UART_CFG_UART4_RTSCTS,16777216,,
PIN_UART_CFG_UART4_DIROE,33554432,,
PIN_UART_CFG_UART5_RTSCTS,67108864,,
PIN_UART_CFG_UART5_DIROE,134217728,,
,,,
PIN_UARTII_CFG_NONE,0,,
PIN_UARTII_CFG_UART6_1,1,UART6_1 (P_GPIO[8..11]),P_GPIO8[]|P_GPIO9[]|P_GPIO10[]|P_GPIO11[]
PIN_UARTII_CFG_UART6_RTSCTS,65536,,
PIN_UARTII_CFG_UART6_DIROE,131072,,
,,,
PIN_CSI_CFG_NONE,0,,
